("3" (0.18 0.14)(0.085 0.06)(0.1 0.06)(0.034 0.02)(0.045 0.02)(0.06 0.02)(0.024 0.014)(0.028 0.014)(0.039 0.014)(0.012 0.006)(0.016 0.006)(0.02 0.006)(0.008 0.002)(0.012 0.002)(0.006 0)(0.01 0)(0.014 0)(0.025 0)(0.04 0)(0.003 -0.003)(0.005 -0.005)(0 -0.006)(0 -0.01)(-0.002 -0.008)(-0.002 -0.012)(-0.004 0.01)(-0.004 -0.014)(-0.006 -0.012)(-0.006 -0.016)(-0.01 -0.02)(-0.014 -0.024)(nil nil)(-0.018 -0.028)(-0.02 -0.03))
("3~6" (0.188 0.14)(0.1 0.07)(0.118 0.07)(0.048 0.03)(0.06 0.03)(0.078 0.03)(0.032 0.02)(0.038 0.02)(0.05 0.02)(0.018 0.01)(0.022 0.01)(0.028 0.01)(0.012 0.004)(0.016 0.004)(0.008 0)(0.012 0)(0.018 0)(0.03 0)(0.048 0)(0.004 -0.004)(0.006 -0.006)(0.002 -0.006)(0.003 -0.009)(-0.001 -0.009)(0 -0.012)(-0.005 -0.013)(-0.004 -0.016)(-0.009 -0.017)(-0.008 -0.02)(-0.011 -0.023)(-0.015 -0.027)(nil nil)(-0.019 -0.031)(-0.024 -0.036))
("6~10" (0.208 0.15)(0.116 0.08)(0.138 0.08)(0.062 0.04)(0.076 0.04)(0.098 0.04)(0.04 0.025)(0.047 0.025)(0.061 0.025)(0.022 0.013)(0.028 0.013)(0.035 0.013)(0.014 0.005)(0.02 0.005)(0.009 0)(0.015 0)(0.022 0)(0.036 0)(0.058 0)(0.0045 -0.0045)(0.007 -0.007)(0.002 -0.007)(0.005 -0.01)(-0.003 -0.012)(0 -0.015)(-0.007 -0.016)(-0.004 -0.019)(-0.012 -0.021)(-0.009 -0.024)(-0.013 -0.028)(-0.017 -0.032)(nil nil)(-0.022 -0.037)(-0.028 -0.043))
("10~14" (0.22 0.15)(0.138 0.95)(0.165 0.95)(0.077 0.05)(0.093 0.05)(0.12 0.05)(0.05 0.032)(0.059 0.032)(0.075 0.032)(0.027 0.016)(0.034 0.016)(0.043 0.016)(0.017 0.006)(0.024 0.006)(0.011 0)(0.018 0)(0.027 0)(0.043 0)(0.07 0)(0.0055 -0.0055)(0.009 -0.009)(0.002 -0.009)(0.006 -0.009)(-0.004 -0.015)(0 -0.018)(-0.009 -0.02)(-0.005 -0.023)(-0.015 -0.026)(-0.011 -0.029)(-0.016 -0.034)(-0.021 -0.039)(nil nil)(-0.026 -0.044)(-0.033 -0.051))
("14~18" (0.22 0.15)(0.138 0.95)(0.165 0.95)(0.077 0.05)(0.093 0.05)(0.12 0.05)(0.05 0.032)(0.059 0.032)(0.075 0.032)(0.027 0.016)(0.034 0.016)(0.043 0.016)(0.017 0.006)(0.024 0.006)(0.011 0)(0.018 0)(0.027 0)(0.043 0)(0.07 0)(0.0055 -0.0055)(0.009 -0.009)(0.002 -0.009)(0.006 -0.009)(-0.004 -0.015)(0 -0.018)(-0.009 -0.02)(-0.005 -0.023)(-0.015 -0.026)(-0.011 -0.029)(-0.016 -0.034)(-0.021 -0.039)(nil nil)(-0.026 -0.044)(-0.038 -0.056))
("18~24" (0.224 0.16)(0.162 0.11)(0.194 0.11)(0.098 0.065)(0.117 0.065)(0.149 0.065)(0.061 0.04)(0.073 0.004)(0.092 0.004)(0.033 0.02)(0.041 0.02)(0.053 0.02)(0.02 0.007)(0.028 0.007)(0.013 0)(0.021 0)(0.033 0)(0.052 0)(0.084 0)(0.0065 -0.0065)(0.01 -0.01)(0.002 -0.011)(0.006 -0.015)(-0.004 -0.017)(0 -0.021)(-0.011 -0.024)(-0.007 -0.028)(-0.018 -0.031)(-0.014 -0.035)(-0.02 -0.041)(-0.027 -0.048)(nil nil)(-0.033 -0.054)(-0.046 -0.067))
("24~30" (0.224 0.16)(0.162 0.11)(0.194 0.11)(0.098 0.065)(0.117 0.065)(0.149 0.065)(0.061 0.04)(0.073 0.004)(0.092 0.004)(0.033 0.02)(0.041 0.02)(0.053 0.02)(0.02 0.007)(0.028 0.007)(0.013 0)(0.021 0)(0.033 0)(0.052 0)(0.084 0)(0.0065 -0.0065)(0.01 -0.01)(0.002 -0.011)(0.006 -0.015)(-0.004 -0.017)(0 -0.021)(-0.011 -0.024)(-0.007 -0.028)(-0.018 -0.031)(-0.014 -0.035)(-0.02 -0.041)(-0.027 -0.048)(-0.033 -0.054)(-0.04 -0.061)(-0.056 -0.077))
("30~40" (0.27 0.17)(0.182 0.12)(0.22 0.12)(0.119 0.08)(0.142 0.08)(0.18 0.08)(0.075 0.05)(0.089 0.05)(0.112 0.05)(0.041 0.025)(0.05 0.025)(0.064 0.025)(0.025 0.009)(0.034 0.009)(0.016 0)(0.025 0)(0.039 0)(0.062 0)(0.1 0)(0.008 -0.008)(0.012 -0.012)(0.003 -0.013)(0.007 -0.018)(-0.004 -0.02)(0 -0.025)(-0.012 -0.028)(-0.008 -0.033)(-0.021 -0.037)(-0.017 -0.042)(-0.025 -0.05)(-0.034 -0.059)(-0.039 -0.064)(-0.051 -0.076)(nil nil))
("40~50" (0.28 0.18)(0.192 0.13)(0.23 0.13)(0.119 0.08)(0.142 0.08)(0.18 0.08)(0.075 0.05)(0.089 0.05)(0.112 0.05)(0.041 0.025)(0.05 0.025)(0.064 0.025)(0.025 0.009)(0.034 0.009)(0.016 0)(0.025 0)(0.039 0)(0.062 0)(0.1 0)(0.008 -0.008)(0.012 -0.012)(0.003 -0.013)(0.007 -0.018)(-0.004 -0.02)(0 -0.025)(-0.012 -0.028)(-0.008 -0.033)(-0.021 -0.037)(-0.017 -0.042)(-0.025 -0.05)(-0.034 -0.059)(-0.045 -0.07)(-0.061 -0.086)(nil nil))
("50~65" (0.31 0.19)(0.214 0.14)(0.26 0.14)(0.146 0.1)(0.174 0.1)(0.22 0.1)(0.09 0.06)(0.106 0.06)(0.134 0.06)(0.049 0.03)(0.06 0.03)(0.076 0.03)(0.029 0.01)(0.04 0.01)(0.019 0)(0.03 0)(0.046 0)(0.074 0)(0.12 0)(0.0095 -0.0095)(0.015 -0.015)(0.004 -0.015)(0.009 -0.021)(-0.005 -0.024)(0 -0.03)(-0.014 -0.033)(-0.009 -0.039)(-0.026 -0.045)(-0.021 -0.051)(-0.03 -0.06)(-0.042 -0.072)(-0.055 -0.085)(-0.076 -0.106)(nil nil))
("65~80" (0.32 0.20)(0.224 0.15)(0.27 0.15)(0.146 0.1)(0.174 0.1)(0.22 0.1)(0.09 0.06)(0.106 0.06)(0.134 0.06)(0.049 0.03)(0.06 0.03)(0.076 0.03)(0.029 0.01)(0.04 0.01)(0.019 0)(0.03 0)(0.046 0)(0.074 0)(0.12 0)(0.0095 -0.0095)(0.015 -0.015)(0.004 -0.015)(0.009 -0.021)(-0.005 -0.024)(0 -0.03)(-0.014 -0.033)(-0.009 -0.039)(-0.026 -0.045)(-0.021 -0.051)(-0.032 -0.062)(-0.048 -0.078)(-0.064 -0.094)(-0.091 -0.121)(nil nil))
("80~100" (0.36 0.22)(0.257 0.17)(0.31 0.17)(0.174 0.12)(0.207 0.12)(0.260 0.12)(0.107 0.72)(0.126 0.72)(0.159 0.72)(0.058 0.036)(0.071 0.036)(0.09 0.036)(0.034 0.012)(0.047 0.012)(0.022 0)(0.035 0)(0.054 0)(0.087 0)(0.14 0)(0.011 -0.011)(0.017 -0.017)(0.004 -0.018)(0.01 -0.025)(-0.006 -0.028)(0 -0.035)(-0.016 -0.038)(-0.01 -0.045)(-0.03 -0.052)(-0.024 -0.059)(-0.038 -0.073)(-0.058 -0.093)(-0.078 -0.113)(-0.111 -0.146)(nil nil))
("100~120" (0.38 0.24)(0.267 0.18)(0.32 0.18)(0.174 0.12)(0.207 0.12)(0.260 0.12)(0.107 0.72)(0.126 0.72)(0.159 0.72)(0.058 0.036)(0.071 0.036)(0.09 0.036)(0.034 0.012)(0.047 0.012)(0.022 0)(0.035 0)(0.054 0)(0.087 0)(0.14 0)(0.011 -0.011)(0.017 -0.017)(0.004 -0.018)(0.01 -0.025)(-0.006 -0.028)(0 -0.035)(-0.016 -0.038)(-0.01 -0.045)(-0.03 -0.052)(-0.024 -0.059)(-0.041 -0.076)(-0.066 -0.101)(-0.091 -0.126)(-0.131 -0.166)(nil nil))
("120~140" (0.42 0.26)(0.3 0.2)(0.36 0.2)(0.208 0.145)(0.245 0.145)(0.305 0.145)(0.125 0.085)(0.148 0.085)(0.185 0.085)(0.068 0.043)(0.083 0.043)(0.106 0.043)(0.039 0.014)(0.054 0.014)(0.025 0)(0.04 0)(0.063 0)(0.1 0)(0.16 0)(0.0125 -0.0125)(0.02 -0.02)(0.004 -0.021)(0.012 -0.028)(-0.008 -0.033)(0 -0.04)(-0.02 -0.045)(-0.012 -0.052)(-0.036 -0.061)(-0.028 -0.068)(-0.048 -0.088)(-0.077 -0.117)(-0.107 -0.147)(nil nil)(nil nil))
("140~160" (0.44 0.28)(0.31 0.21)(0.37 0.21)(0.208 0.145)(0.245 0.145)(0.305 0.145)(0.125 0.085)(0.148 0.085)(0.185 0.085)(0.068 0.043)(0.083 0.043)(0.106 0.043)(0.039 0.014)(0.054 0.014)(0.025 0)(0.04 0)(0.063 0)(0.1 0)(0.16 0)(0.0125 -0.0125)(0.02 -0.02)(0.004 -0.021)(0.012 -0.028)(-0.008 -0.033)(0 -0.04)(-0.02 -0.045)(-0.012 -0.052)(-0.036 -0.061)(-0.028 -0.068)(-0.05 -0.09)(-0.085 -0.125)(-0.119 -0.159)(nil nil)(nil nil))
("160~180" (0.47 0.31)(0.33 0.23)(0.39 0.23)(0.208 0.145)(0.245 0.145)(0.305 0.145)(0.125 0.085)(0.148 0.085)(0.185 0.085)(0.068 0.043)(0.083 0.043)(0.106 0.043)(0.039 0.014)(0.054 0.014)(0.025 0)(0.04 0)(0.063 0)(0.1 0)(0.16 0)(0.0125 -0.0125)(0.02 -0.02)(0.004 -0.021)(0.012 -0.028)(-0.008 -0.033)(0 -0.04)(-0.02 -0.045)(-0.012 -0.052)(-0.036 -0.061)(-0.028 -0.068)(-0.053 -0.093)(-0.093 -0.133)(-0.131 -0.171)(nil nil)(nil nil))
