("¤Ø¤o" (²Ê¤úÆp¤Õ¤Ø¤o §ð¤ú¤Ø¤o) (Æp¤Õ¤Ø¤o ¤º¤»¨¤ÀY¤Õ®| ¤º¤»¨¤ÀY²`«×))
("M 3" (2.4 3)    (3.4 6 3.3))
("M 4" (3.3 4)    (4.5 8 4.4))
("M 5" (4.2 5)    (5.5 9.5 5.4))
("M 6" (5 6)      (6.6 11 6.5))
("M 8" (6.8 8)   (9 14 8.6))
("M10" (8.5  10)  (11 17.5 10.8))
("M12" (10.2 12) (14 20 13))
("M14" (12 14)    (16 23 15.2))
("M16" (14 16)    (18 26 17.5))
("M18" (15.5 18)  (20 29 19.5))
("M20" (17.5 20)  (22 32 21.5))
("M22" (19.5 22)  (24 35 23.5))
("M24" (21 24)    (26 39 25.5))
("M27" (24 27)    (30 43 29))
("M30" (26.5 30)    (33 48 32))
("M33" (29.5 33)    (36 54 35))
("M36" (32 36)    (39 58 38))
("M39" (35 39)    (42 62 41))
("M42" (37.5 42)    (45 67 44))
("M45" (40.5 45)    (48 72 47))
("M48" (43 48)    (52 76 50))
("M52" (47 52)    (56 82 54))
