("3" (-0.14 -0.165)(-0.06 -0.085)(-0.02 -0.034)(-0.02 -0.045)(-0.014 -0.024)(-0.014 -0.028)(-0.014 -0.029)(-0.006 -0.012)(-0.006 -0.016)(-0.006 -0.02)(-0.002 -0.006)(-0.002 -0.008)(0 -0.004)(0 -0.006)(0 -0.01)(0 -0.014)(0 -0.025)(0.002 -0.002)(0.003 -0.003)(0.005 -0.005)(0.004 0)(0.006 0)(0.006 0.002)(0.008 0.002)(0.01 0.004)(0.012 0.006)(0.016 0.01)(0.02 0.014)(nil nil)(0.024 0.018)(0.026 0.02))
("3~5"(-0.14 -0.17)(-0.07 -0.1)(-0.03 -0.048)(-0.03 -0.06)(-0.02 -0.032)(-0.02 -0.038)(-0.02 -0.05)(-0.01 -0.018)(-0.01 -0.022)(-0.01 -0.028)(-0.004 -0.009)(-0.004 -0.012)(0 -0.005)(0 -0.008)(0 -0.012)(0 -0.018)(0 -0.03)(0.0025 -0.0025)(0.004 -0.004)(0.006 -0.006)(0.006 0.001)(0.009 0.001)(0.009 0.004)(0.012 0.004)(0.016 0.008)(0.02 0.012)(0.023 0.015)(0.027 0.019)(nil nil)(0.031 0.023)(0.036 0.028))
("5~10"(-0.15 -0.186)(-0.08 -0.116)(-0.04 -0.062)(-0.04 -0.076)(-0.025 -0.04)(-0.025 -0.047)(-0.025 -0.061)(-0.013 -0.022)(-0.013 -0.028)(-0.013 -0.035)(-0.005 -0.011)(-0.005 -0.014)(0 -0.006)(0 -0.009)(0 -0.015)(0 -0.022)(0 -0.036)(0.003 -0.003)(0.0045 -0.0045)(0.007 -0.007)(0.007 0.001)(0.01 0.001)(0.012 0.006)(0.015 0.006)(0.019 0.01)(0.024 0.015)(0.028 0.019)(0.032 0.023)(nil nil)(0.037 0.028)(0.043 0.034))
("10~14"(-0.15 -0.193)(-0.095 -0.138)(-0.05 -0.077)(-0.05 -0.093)(-0.032 -0.05)(-0.032 -0.059)(-0.032 -0.075)(-0.016 -0.027)(-0.016 -0.034)(-0.016 -0.043)(-0.006 -0.014)(-0.006 -0.017)(0 -0.008)(0 -0.011)(0 -0.018)(0 -0.027)(0 -0.043)(0.004 -0.004)(0.0055 -0.0055)(0.009 -0.009)(0.009 0.001)(0.012 0.001)(0.015 0.007)(0.018 0.007)(0.023 0.012)(0.029 0.018)(0.034 0.023)(0.039 0.028)(nil nil)(0.044 0.033)(0.051 0.04))
("14~18"(-0.15 -0.193)(-0.095 -0.138)(-0.05 -0.077)(-0.05 -0.093)(-0.032 -0.05)(-0.032 -0.059)(-0.032 -0.075)(-0.016 -0.027)(-0.016 -0.034)(-0.016 -0.043)(-0.006 -0.014)(-0.006 -0.017)(0 -0.008)(0 -0.011)(0 -0.018)(0 -0.027)(0 -0.043)(0.004 -0.004)(0.0055 -0.0055)(0.009 -0.009)(0.009 0.001)(0.012 0.001)(0.015 0.007)(0.018 0.007)(0.023 0.012)(0.029 0.018)(0.034 0.023)(0.039 0.028)(nil nil)(0.044 0.033)(0.056 0.045))
("18~24"(-0.16 -0.212)(-0.11 -0.162)(-0.065 -0.098)(-0.065 -0.117)(-0.04 -0.061)(-0.04 -0.073)(-0.04 -0.092)(-0.02 -0.033)(-0.02 -0.041)(-0.02 -0.053)(-0.007 -0.016)(-0.007 -0.02)(0 -0.009)(0 -0.013)(0 -0.021)(0 -0.033)(0 -0.052)(0.0045 -0.0045)(0.0065 -0.0065)(0.01 -0.01)(0.011 0.002)(0.015 0.002)(0.017 0.008)(0.021 0.008)(0.028 0.015)(0.035 0.022)(0.041 0.028)(0.048 0.035)(nil nil)(0.054 0.041)(0.067 0.054))
("24~30"(-0.16 -0.212)(-0.11 -0.162)(-0.065 -0.098)(-0.065 -0.117)(-0.04 -0.061)(-0.04 -0.073)(-0.04 -0.092)(-0.02 -0.033)(-0.02 -0.041)(-0.02 -0.053)(-0.007 -0.016)(-0.007 -0.02)(0 -0.009)(0 -0.013)(0 -0.021)(0 -0.033)(0 -0.052)(0.0045 -0.0045)(0.0065 -0.0065)(0.01 -0.01)(0.011 0.002)(0.015 0.002)(0.017 0.008)(0.021 0.008)(0.028 0.015)(0.035 0.022)(0.041 0.028)(0.048 0.035)(0.054 0.041)(0.061 0.048)(0.077 0.064))
("30~40"(-0.17 -0.323)(-0.12 -0.182)(-0.08 -0.119)(-0.08 -0.142)(-0.05 -0.075)(-0.05 -0.089)(-0.05 -0.112)(-0.025 -0.041)(-0.025 -0.05)(-0.025 -0.064)(-0.009 -0.02)(-0.009 -0.025)(0 -0.011)(0 -0.016)(0 -0.025)(0 -0.039)(0 -0.062)(0.0055 -0.0055)(0.008 -0.008)(0.012 -0.012)(0.013 0.002)(0.018 0.002)(0.02 0.009)(0.025 0.009)(0.033 0.017)(0.042 0.026)(0.05 0.034)(0.059 0.043)(0.064 0.048)(0.076 0.06)(nil nil))
("40~50"(-0.18 -0.242)(-0.13 -0.192)(-0.08 -0.119)(-0.08 -0.142)(-0.05 -0.075)(-0.05 -0.089)(-0.05 -0.112)(-0.025 -0.041)(-0.025 -0.05)(-0.025 -0.064)(-0.009 -0.02)(-0.009 -0.025)(0 -0.011)(0 -0.016)(0 -0.025)(0 -0.039)(0 -0.062)(0.0055 -0.0055)(0.008 -0.008)(0.012 -0.012)(0.013 0.002)(0.018 0.002)(0.02 0.009)(0.025 0.009)(0.033 0.017)(0.042 0.026)(0.05 0.034)(0.059 0.043)(0.07 0.054)(0.086 0.07)(nil nil))
("50~65"(-0.19 -0.264)(-0.14 -0.214)(-0.1 -0.146)(-0.1 -0.174)(-0.06 -0.09)(-0.06 -0.106)(-0.06 -0.134)(-0.03 -0.049)(-0.03 -0.06)(-0.03 -0.076)(-0.01 -0.023)(-0.01 -0.029)(0 -0.013)(0 -0.019)(0 -0.03)(0 -0.046)(0 -0.074)(0.0065 -0.0065)(0.0095 -0.0095)(0.015 -0.015)(0.015 0.002)(0.021 0.002)(0.024 0.011)(0.03 0.011)(0.039 0.02)(0.051 0.032)(0.06 0.041)(0.072 0.053)(0.085 0.066)(0.106 0.087)(nil nil))
("65~80"(-0.2 -0.247)(-0.15 -0.224)(-0.1 -0.146)(-0.1 -0.174)(-0.06 -0.09)(-0.06 -0.106)(-0.06 -0.134)(-0.03 -0.049)(-0.03 -0.06)(-0.03 -0.076)(-0.01 -0.023)(-0.01 -0.029)(0 -0.013)(0 -0.019)(0 -0.03)(0 -0.046)(0 -0.074)(0.0065 -0.0065)(0.0095 -0.0095)(0.015 -0.015)(0.015 0.002)(0.021 0.002)(0.024 0.011)(0.03 0.011)(0.039 0.02)(0.051 0.032)(0.062 0.043)(0.078 0.059)(0.094 0.075)(0.121 0.102)(nil nil))
("80~100"(-0.22 -0.307)(-0.17 -0.257)(-0.12 -0.174)(-0.12 -0.207)(-0.072 -0.107)(-0.072 -0.126)(-0.072 -0.159)(-0.036 -0.058)(-0.036 -0.071)(-0.036 -0.09)(-0.012 -0.027)(-0.012 -0.034)(0 -0.015)(0 -0.022)(0 -0.035)(0 -0.054)(0 -0.087)(0.0075 -0.0075)(0.011 -0.011)(0.017 -0.017)(0.018 0.003)(0.025 0.003)(0.028 0.013)(0.035 0.013)(0.045 0.023)(0.059 0.037)(0.073 0.051)(0.093 0.071)(0.113 0.091)(0.146 0.124)(nil nil))
