料號;TAG3;TAG9;TAG10
MSA-M6X25;內六角承窩螺絲;Screw.SKT.HD CAP;6mm*25mm*P1.0
ML05-A7;A型配油器;Distibutor;A7
ML010001;套管帽PA4;Thimble nut;
MJ07A-M8;六角接速螺帽;Hex. nut;M8
ML06-MSA03;潤滑接頭;Adaptor;MSA03
MJ14-8X02;內外牙直接頭(PD401);;內M8*外1/8"PT
MJ19-8X02;平面直接頭(90°);Adapter;內M8*外1/8"PT
ML04-4X6000;外鋼絲軟管\U+222E4*600;;\U+222E4*6000mm
MJ07A-M8;六角接速螺帽;Hex. nut;M8
ML06-MSA0;潤滑接頭;Adaptor;MSA0
MJ19-8X02;平面直接頭(90°);Adapter;內M8*外1/8"PT
MJ07A-M8;六角接速螺帽;Hex. nut;M8
ML06-MSA0;潤滑接頭;Adaptor;MSA0
MJ19-8X02;平面直接頭(90°);Adapter;內M8*外1/8"PT
MJ14-8X02;內外牙直接頭(PD401);;內M8*外1/8"PT
MJ19-8X02;平面直接頭(90°);Adapter;內M8*外1/8"PT
ML06-MSA03;潤滑接頭;Adaptor;MSA03
MJ07A-M8;六角接速螺帽;Hex. nut;M8
ML04-4X1800;外鋼絲軟管;Flexible tube;\U+222E4*1800mm
ML010001;套管帽PA4;Thimble nut;
MSA-M6X25;內六角承窩螺絲;Screw.SKT.HD CAP;6mm*25mm*P1.0
ML05-A6;A型配油器;Distibutor;A6
MJ19-8X02;平面直接頭(90°);Adapter;內M8*外1/8"PT
MJ08-20X16;插心接頭1+1/4"PT*1PH;Adapter;1+1/4"PT*1"PH
ME23-16X1.0;耐油管1"*100cm;Oil tube;1"*100cm
MJ02-20X16;L型插管接頭(PT*L;Adapter;1+1/4"PT*1"L
ML20-24;管束 1+1/2";Tube clamp;1+1/2"
MJ05A-16X16;直型接頭(PT*PT);Adapter;1"PT*1"PT
MJ23A-16X16;內牙彎頭(鑄);Adapter;內1"PT*內1"PT
MH010001;油壓方向止迴閥(銅);Check valve;1"PT*1"PT
MJ08-16X12;直插心接頭(PT*PH);Adapter;1"PT*3/4"PH
ML20-20;管束 1+1/4";Hose clip;1+1/4"
MJ07A-M8;六角接速螺帽;Hex. nut;M8
ML06-MSA0;潤滑接頭;Adaptor;MSA0
MJ19-8X02;平面直接頭(90°);Adapter;內M8*外1/8"PT
MSA-M5X20;內六角承窩螺絲;Screw.SKT.HD CAP;5mm*20mm*P0.8
ML05-A3;A型配油器;Distibutor;A3
ML010001;套管帽PA4;Thimble nut;
MJ07A-M8;六角接速螺帽;Hex. nut;M8
ML06-MSA02;潤滑接頭;Adaptor;MSA02
ML09-4X1000;膠管;Plstic tube;\U+222E4*1M
ML08-4X10000;鋁管;Aluminum tube;\U+222E4*10M  1捲100M
