料號;TAG3;TAG9;TAG10;TAG4;TAG8;TAG5
00462;人字紋踏板;Plate;CPV-750/SMART-II;;;00462
100000001;左護罩;Left side cover;;;;100000001
100000001A;左護罩;Left side cover;;;;100000001A
100000001B;左護罩;Left side cover;;;;100000001B
100000001C;左護罩;Left side cover;;;;100000001C
100000001D;左護罩;Left side cover;;2tSPCC;RAL 9002;100000001D
100000001E;左護罩;Left side cover;;2tSPCC;RAL 9002;100000001E
100000001F;左護罩;Left side cover;;2tSPCC;RAL9002;100000001F
100000001G;左護罩;Left side cover;;2tSPCC;RAL 9002;100000001G
100000001H;左護罩;Left side cover;;2tSPCC;RAL9002;100000001H
100000001I;左護罩;Left side cover;;2tSPCC;PN Cool Gray 1C 白灰;100000001I
100000002;右護罩;Right side cover;;;;100000002
100000002A;右護罩;Right side cover;;;;100000002A
100000002B;右護罩;Right side cover;;;;100000002B
100000002C;右護罩;Right side cover;;;;100000002C
100000002D;右護罩;Right side cover;;2tSPCC;RAL 9002;100000002D
100000002E;右護罩;Right side cover;;2t SPCC;RAL 9002;100000002E
100000002F;右護罩;Right side cover;;2t SPCC;RAL9002;100000002F
100000002G;右護罩;Right side cover;;2t SPCC;RAL 9002;100000002G
100000002H;右護罩;Right side cover;;2t SPCC;RAL9002;100000002H
100000003;箱架;Bracket;;;RAL 7021;100000003
100000003A;箱架;Bracket;;;RAL 7021;100000003A
100000003B;箱架;Bracket;;;RAL 7021;100000003B
100000003C;箱架;Bracket;;;RAL 7021;100000003C
100000003D;箱架;Bracket;;3tSPCC;RAL 7021;100000003D
100000003E;保養區支架;Bracket;;3t SPCC;RAL 7021;100000003E
100000004;前門;Front door;;;RAL 7021;100000004
100000004A;前門;Front door;;;RAL 7021;100000004A
100000004B;前門;Front door;;;RAL 7021;100000004B
100000004C;前門;Front door;;;RAL 7021;100000004C
100000004D;前門;Front door;;;RAL7021;100000004D
100000004E;前門;Front door;CNV-850;;PN 2757C 藍;100000004E
100000005;下門軌;Rail;;;染黑;100000005
100000005A;下門軌;Rail;;;染黑;100000005A
100000006;上門軌;Rail;;;RAL 9002;100000006
100000006A;上門軌;Rail;;;RAL 9002;100000006A
100000006B;上門軌;Rail;;;RAL 9002;100000006B
100000006C;上門軌;Rail;;;RAL 9002;100000006C
100000006D;上門軌;Rail;;3tSPCC;RAL 9002;100000006D
100000007;操作箱;Operation box;;;RAL 7021;100000007
100000007A;操作箱;Operation box;;;RAL 7021;100000007A
100000007B;操作箱;Operation box;;2t SPCC;RAL 7021;100000007B
100000008;操作箱背蓋;Cover;;;RAL 7021;100000008
100000009;操作箱下轉軸;Shaft;;;染黑;100000009
100000010;介面鈑(Fanuc8.4");;;;RAL 7021;100000010
100000010A;介面鈑(Fanuc8.4");Interface plate;;;RAL 7021;100000010A
100000010B;介面鈑(Fanuc8.4");Interface plate;;;RAL 7021;100000010B
100000010C;介面鈑(Fanuc8.4");Interface plate;;2t SPCC;RAL 7021;100000010C
100000011;介面鈑(Mitsubishi8.4");Interface plate;;;RAL 7021;100000011
100000011A;介面鈑(Mitsubishi8.4");Interface plate;;;RAL 7021;100000011A
100000011B;介面鈑(Mitsubishi8.4");Interface plate;;;RAL 7021;100000011B
100000011C;介面鈑(Mitsubishi8.4");Interface plate;;2t SPCC;RAL 7021;100000011C
100000012;左側窗;Left side door;;;RAL 9002;100000012
100000012A;左側窗;Left side door;;;RAL 9002;100000012A
100000012B;左側窗;Left side door;;;RAL 9002;100000012B
100000013;右側窗;Right side door;;;RAL 9002;100000013
100000013A;右側窗;Right side door;;;RAL 9002;100000013A
100000013B;右側窗;Right side door;;;RAL 9002;100000013B
100000013C;右側窗;Right side door;;2t SPCC;RAL 9002;100000013C
100000014;前門壓克力;Acrylic window;;;;100000014
100000014A;前門壓克力;Acrylic window;;;;100000014A
100000015;上飾鈑(24T);Cover;;;;100000015
100000015A;上飾鈑(24T);Cover;;;;100000015A
100000016;接頭夾鈑;Clamp plate;;;RAL 7021;100000016
100000016A;接頭夾鈑;Clamp plate;;;RAL 7021;100000016A
100000017;二點組合固定鈑;Fixed;;;RAL 7021;100000017
100000018;三點組合固定鈑;Fixed;;;RAL 7021;100000018
100000018A;三點組合固定鈑;Fixed;;;RAL 7021;100000018A
100000018B;三點組合固定鈑;Fixed;;2tSPCC;PMS 2757C;100000018B
100000019;潤滑泵固定鈑;Fixed;;;RAL 7021;100000019
100000019A;潤滑泵固定鈑;Fixed;;;RAL 7021;100000019A
100000019B;潤滑泵固定鈑;Fixed;;2tSPCC;RAL 7021;100000019B
100000020;側飾鈑;Cover;;;RAL 9002;100000020
100000020A;側飾鈑;Cover;;;RAL 9002;100000020A
100000021;前踏鈑;Plate;;;不鏽鋼亮面;100000021
100000022;線槽蓋鈑;Cover;;;RAL 9002;100000022
100000022A;線槽蓋鈑;Cover;;;RAL 9002;100000022A
100000023;前門上防屑鈑;Chip cover;;;RAL 9002;100000023
100000023A;前門上防屑鈑;Chip cover;;;RAL 9002;100000023A
100000023B;前門上防屑鈑;Chip cover;;;RAL9002;100000023B
100000023C;前門上防屑鈑;Chip cover;;2tSPCC;RAL 9002;100000023C
100000024;前門防屑鈑;Chip cover;;;RAL 9002;100000024
100000024A;前門防屑鈑;Chip cover;;;RAL 9002;100000024A
100000024B;前門防屑鈑;Chip cover;;2t SPCC;RAL 9002;100000024B
100000024C;前門防屑鈑;Chip cover;;2t SPCC;RAL9002;100000024C
100000024D;前門防屑鈑;Chip cover;;2t SPCC;RAL9002;100000024D
100000024E;前門防屑鈑;Chip cover;;2t SPCC;PN Cool Gray 1C 白灰;100000024E
100000025;第四軸介面封蓋;Cover;;;;100000025
100000025A;第四軸介面封蓋;Cover;;;;100000025A
100000026;線槽蓋鈑(操作箱);Cover;;;RAL 9002;100000026
100000026A;線槽蓋鈑(操作箱);Cover;;;RAL 9002;100000026A
100000026B;線槽蓋鈑(操作箱);Cover;;;RAL 9002;100000026B
100000027;護罩支架;;;;;100000027
100000028;前門壓鈑;Fixed;;;RAL 7021;100000028
100000029;沖屑管遮蓋;Cover;;;RAL 9002;100000029
100000030;擴充功能面板;OPT plate;;;;100000030
100000030A;擴充功能面板;OPT plate;;;;100000030A
100000030B;擴充功能面板;OPT plate;;;;100000030B
100000031;前門輪防屑鈑;Chip cover;;;;100000031
100000032;箱架蓋鈑;Cover;;;RAL 7021;100000032
100000032A;箱架蓋鈑;Cover;;;RAL 7021;100000032A
100000032B;保養區支架蓋鈑;Cover;;;RAL 7021;100000032B
100000033;第四軸介面鈑;Cover;;;RAL 9002;100000033
100000033A;第四軸介面鈑;Cover;;;RAL 9002;100000033A
100000033B;第四軸介面鈑;Cover;;;RAL 9002;100000033B
100000034;上橫桿;Top fixed;;;RAL 9002;100000034
100000034A;上橫桿;Top fixed;;;RAL 9002;100000034A
100000034B;上橫桿;Top fixed;;;RAL 9002;100000034B
100000035;上飾鈑(30T);Cover;;;RAL 9002;100000035
100000035A;上飾鈑(30T);Cover;;;RAL 9002;100000035A
100000036;左護罩;Left side cover;;;RAL 9002;100000036
100000036A;左護罩;Left side cover;;;RAL 9002;100000036A
100000036B;左護罩;Left side cover;;2tSPCC;RAL 9002;100000036B
100000036C;左護罩;Left side cover;;2tSPCC;RAL 9002;100000036C
100000036D;左護罩;Left side cover;;2tSPCC;RAL9002;100000036D
100000036E;左護罩;Left side cover;;2tSPCC;RAL9002;100000036E
100000036F;左護罩;Left side cover;;2tSPCC;PN Cool Gray 1C 白灰;100000036F
100000037;右護罩;Right side cover;;;RAL 9002;100000037
100000037A;右護罩;Right side cover;;;RAL 9002;100000037A
100000037B;右護罩;Right side cover;;2tSPCC;RAL 9002;100000037B
